Total_Stops,Price,Dep_time,Arrival_time,Duration,Day_of_week,Month_sin,Month_cos,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
0,3943,240,410,170,2,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4823,1135,1310,175,2,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,7757,1135,495,800,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,13292,1285,755,910,6,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,8238,1310,215,345,5,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7682,420,775,355,2,0.49999999999999994,-0.8660254037844387,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4668,585,755,170,1,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3687,425,560,135,5,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,3687,425,560,135,1,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2,13227,590,1395,805,2,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4423,240,410,170,5,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,10919,875,755,1320,5,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12373,425,755,330,5,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5894,635,1260,625,3,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,4649,905,1220,315,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,6245,855,1005,150,5,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,19225,420,795,375,2,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,14924,425,1140,715,0,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9646,425,1090,665,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,8714,405,915,510,4,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,12373,1255,1140,1325,5,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3383,670,835,165,0,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,13062,540,1260,720,3,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3527,345,515,170,6,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3943,240,410,170,0,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4667,700,835,135,4,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,6117,1140,665,965,2,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,11150,1385,1140,1195,3,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,7202,660,855,195,5,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12121,575,655,1520,2,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4377,1340,70,170,6,1.0,6.123233995736766e-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3943,1275,15,180,1,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4483,1435,165,170,2,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,14231,1185,720,975,6,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,17345,530,1435,905,4,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,7414,425,560,135,2,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,8073,1140,90,390,0,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12395,940,1005,1505,2,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,8366,565,1310,745,3,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5117,365,565,1640,2,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12524,525,1140,615,0,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7191,900,90,630,2,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3687,425,560,135,4,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,5894,635,1260,625,0,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,5403,585,755,170,2,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3625,835,925,90,0,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,10861,355,1155,800,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6297,800,935,135,1,1.0,6.123233995736766e-17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,5678,425,510,85,5,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,9134,345,495,1590,5,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10791,700,1140,440,0,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,12819,1385,755,810,0,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6893,305,605,300,3,1.0,6.123233995736766e-17,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,7240,590,755,165,5,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3898,700,870,170,2,0.8660254037844387,-0.4999999999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4049,385,475,90,2,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,10262,1050,755,1145,5,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3332,500,635,135,3,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,10844,1270,720,890,6,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,7229,1195,1355,160,6,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,13941,390,280,1330,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5894,685,1260,575,3,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10197,540,1140,600,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13712,845,685,1280,2,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5636,120,445,325,0,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13014,580,265,1125,3,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7064,505,1245,740,0,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,10703,1225,865,1080,4,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,9646,795,1350,555,0,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,17057,135,800,665,2,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13817,1015,625,1050,1,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,13748,355,1155,800,2,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4880,1245,1400,155,6,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3540,315,460,145,4,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,3257,355,515,160,2,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,6478,1190,1370,180,0,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,8040,425,510,85,1,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,14300,1200,755,995,2,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,14781,505,1245,740,2,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14939,1200,495,735,6,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,10262,1255,265,450,0,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6528,875,875,1440,6,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6121,370,535,165,2,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,13029,1170,265,535,5,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,11421,700,1130,430,2,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7574,285,1155,870,2,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,11596,775,1155,1820,3,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,15129,1385,1140,1195,4,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13555,845,305,900,0,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5780,1135,1310,175,4,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,9397,1220,545,765,6,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,17024,1095,265,610,2,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5281,420,775,355,3,1.2246467991473532e-16,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10348,425,1350,925,5,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,12677,1040,565,965,2,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,15147,925,95,610,6,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4668,420,580,160,2,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,15554,425,1140,715,3,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3971,355,515,160,1,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,3100,900,985,85,4,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,9663,1200,605,845,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3540,315,460,145,6,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,10676,720,670,1390,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13044,845,495,1090,2,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14388,1200,720,960,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3943,240,410,170,0,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3597,885,1025,140,0,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,5932,710,1190,480,3,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10262,690,265,1015,5,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6216,880,1070,190,6,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
0,4804,1225,1390,165,5,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14067,690,90,840,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,15129,1150,1140,1430,5,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,13376,405,265,1300,3,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,10441,1320,1155,1275,3,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,4030,360,525,165,4,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,17024,480,1130,650,6,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,13017,1050,90,480,1,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6686,1410,465,495,3,1.2246467991473532e-16,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5636,120,445,325,5,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6442,455,970,515,6,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9486,785,55,710,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10844,1200,1415,1655,1,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,15318,1200,265,505,0,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5117,750,565,1255,2,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,6147,910,1200,290,0,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7005,770,1260,490,6,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3873,1340,40,140,2,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,9270,1105,1130,1465,3,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3898,700,870,170,3,1.2246467991473532e-16,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,14781,505,1245,740,6,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,8586,1200,495,735,4,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,10697,500,475,1415,3,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,14300,1200,755,995,3,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,8855,1135,1305,170,6,1.0,6.123233995736766e-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10844,990,1095,1545,6,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,17024,135,265,1570,2,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9314,575,865,1730,2,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4777,40,205,165,6,1.0,6.123233995736766e-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7662,720,795,1515,6,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6442,410,970,560,3,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,5264,525,795,270,2,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,12898,780,265,925,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,6092,835,925,90,6,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,3311,355,515,160,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,6540,1155,265,550,2,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,3419,90,255,165,0,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5177,840,755,1355,2,0.8660254037844387,-0.4999999999999998,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,8246,1085,1270,185,3,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,14676,575,1265,690,6,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13587,690,1260,570,3,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9663,1270,560,730,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,13044,990,605,1055,2,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5073,1225,90,305,2,0.8660254037844387,-0.4999999999999998,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9345,1020,1130,1550,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,9663,845,605,1200,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,14277,480,1260,780,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10262,600,265,1105,5,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,5678,1175,1265,90,2,1.0,6.123233995736766e-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,13727,960,90,570,2,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,9663,1200,720,960,0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3858,885,1025,140,6,0.49999999999999994,-0.8660254037844387,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,4812,525,795,270,0,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,5775,1310,215,345,3,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,10539,575,585,1450,3,1.2246467991473532e-16,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4804,930,1085,155,0,1.2246467991473532e-16,-1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3383,670,835,165,2,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
